Company name,Industry,City,County,Zip code,Date,Claimants,Wages owed,Industry_clean,company_id,industry_stolen,industry_total_claimants,industry_avg_loss_per_worker,company_total_wages,company_total_claimants,company_avg_loss_per_worker,county_total_wages,county_total_cases
"Charles D.Rinaldi, Inc.",Post Office,West Harrison,Westchester County,10604,2015-08-01,25,323205.47,Delivery/Transportation,charles-d-rinaldi-inc,22069415.419999998,30474,724.204745684846,323205.47,25,12928.218799999999,22226095.1,2016
Acme Bar & Restaurant,Restaurants - Table Service,New York,New York County,10012,2019-07-19,123,320195.42,Food Services,acme-bar-restaurant,149672052.18,66102,2264.2590569120453,320195.42,123,2603.2147967479673,96159726.15,6430
G.C. Plumbing & Heating Inc.,Construction -General,Richmond Hill,Queens County,11418,2016-07-21,80,320027.84,Construction,g-c-plumbing-heating-inc,61023694.45,20078,3039.3313303117843,320027.84,80,4000.3480000000004,82459395.43,4259
Mikawa Japanese Cuisine,Restaurants - Table Service,New Hyde Park,Nassau County,11040,2016-12-13,12,319220.06,Food Services,mikawa-japanese-cuisine,149672052.18,66102,2264.2590569120453,319220.06,12,26601.671666666665,58900272.76,3252
EagleView Technologies Inc.,Custom Computer Programming Services,Rochester,Monroe County,14623,2021-10-24,57,319141.08,Other,eagleview-technologies-inc,147547188.43,98576,1496.786118629281,319141.08,57,5598.966315789474,9322789.01,1383
SoFar Sounds,Retail - Misc,New York,New York County,10013,2019-08-20,453,318652.5,Retail,sofar-sounds,14204964.71,7085,2004.9350331686662,460537.5,633,727.5473933649289,96159726.15,6430
Testaccio Ristorante,Restaurants - Table Service,Long Island City,Queens County,11101,2016-09-19,19,318529.84,Food Services,testaccio-ristorante,149672052.18,66102,2264.2590569120453,355031.08,45,7889.579555555556,82459395.43,4259
Oasis Rehabilitation and Nursing,Healthcare - General,Center Moriches,Suffolk County,11934,2017-05-17,396,316763.22,Healthcare,oasis-rehabilitation-and-nursing,86413131.15,57682,1498.0952662875768,316763.22,396,799.9071212121212,53899585.56,3018
Brachs Supermarket,Groceries/Food - Misc Supermarket,Lawrence,Nassau County,11550,2016-04-12,52,313961.47,Groceries,brachs-supermarket,20303227.0,43316,468.72349709114417,604531.48,156,3875.201794871795,58900272.76,3252
Hae Woon Dae,Restaurants - General,Elmhurst,Queens County,11377,2014-04-28,12,311294.01,Food Services,hae-woon-dae,149672052.18,66102,2264.2590569120453,317209.02,14,22657.787142857145,82459395.43,4259
Holliswood Center for Rehabilitation and Heal,Healthcare - Nursing Care Facilities,Hollis,Queens County,11423,2018-09-01,111,310519.99,Healthcare,holliswood-center-for-rehabilitation-and-heal,86413131.15,57682,1498.0952662875768,310519.99,111,2797.4773873873874,82459395.43,4259
Fedcap Rehab Services Inc - GSA Cadman,Janitorial Services- Cleaning/Janitorial Services,Brooklyn,Kings County,11201,2017-12-31,28,308060.47,Other,fedcap-rehab-services-inc-gsa-cadman,147547188.43,98576,1496.786118629281,308060.47,28,11002.159642857141,87588061.27,4731
"Serklan, Inc",Laundry - Drycleaning And Laundry Services (Except Coin-Operated),Yonkers,Westchester County,10701,2014-01-17,68,307500.0,Other,serklan-inc,147547188.43,98576,1496.786118629281,307500.0,68,4522.058823529412,22226095.1,2016
Bethesda Elite Care,Healthcare - Home Health Care Services,Brentwood,Suffolk County,11717,2017-12-28,167,305749.03,Healthcare,bethesda-elite-care,86413131.15,57682,1498.0952662875768,305749.03,167,1830.83251497006,53899585.56,3018
New York Popular Inc,Apparel,Brooklyn,Kings County,11232,2017-10-13,308,304540.12,Other,new-york-popular-inc,147547188.43,98576,1496.786118629281,304540.12,308,988.7666233766233,87588061.27,4731
Reliance Home Health Care Inc,Healthcare - Home Health Care,Brooklyn,Kings County,11220,2022-09-01,9,303656.0,Healthcare,reliance-home-health-care-inc,86413131.15,57682,1498.0952662875768,303656.0,9,33739.555555555555,87588061.27,4731
99 Cent Dreams,Retail - Misc,Hempstead,Nassau County,11550,2023-05-04,3,301523.5,Retail,99-cent-dreams,14204964.71,7085,2004.9350331686662,301523.5,3,100507.83333333333,58900272.76,3252
Twin Peaks Inc.,Construction - Other Heavy And Civil Engineering Construction,Long Island City,Queens County,11101,2015-08-10,9,300271.23,Construction,twin-peaks-inc,61023694.45,20078,3039.3313303117843,300271.23,9,33363.47,82459395.43,4259
Pick A Bagel,Restaurants - Limited-Service Restaurants,New York,New York County,10023,2017-07-29,101,300000.0,Food Services,pick-a-bagel,149672052.18,66102,2264.2590569120453,300000.0,101,2970.29702970297,96159726.15,6430
Fedcap Rehab Services Inc - 290  Broadway,Janitorial Services- Cleaning/Janitorial Services,New York,Kings County,10007,2017-12-31,36,299818.28,Other,fedcap-rehab-services-inc-290-broadway,147547188.43,98576,1496.786118629281,299818.28,36,8328.285555555556,87588061.27,4731
"Bilingual SEIT & Preschool, Inc.",Other,Flushing,Queens County,11421,2012-09-19,99,298826.88,Other,bilingual-seit-preschool-inc,147547188.43,98576,1496.786118629281,298826.88,99,3018.4533333333334,82459395.43,4259
Hapisgah Steak House,Restaurants - Table Service,Flushing,Queens County,11367,2016-02-18,80,298109.75,Food Services,hapisgah-steak-house,149672052.18,66102,2264.2590569120453,298109.75,80,3726.371875,82459395.43,4259
Bruvildo Inc,Healthcare - Home Health Care,Valley Stream,Nassau County,11580,2019-09-16,42,297525.37,Healthcare,bruvildo-inc,86413131.15,57682,1498.0952662875768,297525.37,42,7083.93738095238,58900272.76,3252
Addicts Rehabilitation Center,Non-Profit,New York,New York County,10035,2017-09-12,12,297365.84,Other,addicts-rehabilitation-center,147547188.43,98576,1496.786118629281,297365.84,12,24780.486666666668,96159726.15,6430
"Pizzarotti, LLC",Construction - Nonresidential Building Construction,New York,New York County,10022,2019-04-28,10,297035.85,Construction,pizzarotti-llc,61023694.45,20078,3039.3313303117843,297035.85,10,29703.585,96159726.15,6430
Mr Pierogi LLC,Retail - Misc,Brooklyn,Kings County,11215,2022-01-27,40,296525.47,Retail,mr-pierogi-llc,14204964.71,7085,2004.9350331686662,296525.47,40,7413.13675,87588061.27,4731
All Metro Health Care,Healthcare - Home Health Care Services,Valley Stream,Nassau County,11581,2017-09-08,726,295150.93,Healthcare,all-metro-health-care,86413131.15,57682,1498.0952662875768,306182.21,747,409.8824765729585,58900272.76,3252
Antepli Baklava,Restaurants - Bakery,Brooklyn,Kings County,11209,2018-11-08,2,294817.19,Food Services,antepli-baklava,149672052.18,66102,2264.2590569120453,294817.19,2,147408.595,87588061.27,4731
Skills Unlimited,Local Sheltered Workshops,Oakdale,Suffolk County,11769,2017-02-20,112,291231.5,Other,skills-unlimited,147547188.43,98576,1496.786118629281,291231.5,112,2600.28125,53899585.56,3018
Albany Public Schools,Government - Local School Boards Or Districts,Albany,Albany County,12207,2015-09-11,85,291073.75,Government,albany-public-schools,1865214.87,2878,648.0941174426686,291073.75,85,3424.3970588235293,7516825.93,816
Brachs Supermarket,Groceries/Food - Misc Supermarket,Lawrence,Nassau County,11559,2016-02-09,104,290570.01,Groceries,brachs-supermarket,20303227.0,43316,468.72349709114417,604531.48,156,3875.201794871795,58900272.76,3252
Valucare Inc IV,Healthcare - Home Health Care,Hempstead,Nassau County,11550,2020-02-07,340,290432.93,Healthcare,valucare-inc-iv,86413131.15,57682,1498.0952662875768,290432.93,340,854.2144999999999,58900272.76,3252
"Otis Eastern Service, LLC",Oil And Gas Pipeline And Related Structures Construction,Wellsville,Allegany County,14895,2021-03-28,612,288724.43,Construction,otis-eastern-service-llc,61023694.45,20078,3039.3313303117843,288724.43,612,471.77194444444444,594357.56,51
Bestcare Inc,Healthcare - Home Health Care Services,Levittown,Nassau County,11756,2019-07-08,226,288289.3,Healthcare,bestcare-inc,86413131.15,57682,1498.0952662875768,288289.3,226,1275.6163716814158,58900272.76,3252
